,Unnamed: 0,id,Text,Reject Newspaper,Reject Crowd,Rejection Count Crowd,Sexism Count Crowd,Racism Count Crowd,Threat Count Crowd,Insult Count Crowd,Profanity Count Crowd,Meta Count Crowd,Advertisement Count Crowd
63794,63794,2181295,gegen Zoos und Tierparks! Artgerecht ist nur die Freiheit!,0,0,0,,,,,,,
83680,83680,2344207,AfD wirkt,1,0,0,,,,,,,
48729,48729,2119467,AfD wirkt.,1,0,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0
83632,83632,2338553,Feiglinge,1,0,2,0.0,0.0,0.0,2.0,0.0,0.0,0.0
5140,5140,1933985,Feigling,0,0,2,0.0,0.0,0.0,2.0,0.0,0.0,0.0
38256,38256,2075901,Feigling,0,1,4,0.0,0.0,0.0,4.0,1.0,0.0,0.0
83611,83611,2337063,Gegen Zoos und Tierparks! Artgerecht ist nur die Freiheit!,1,0,0,,,,,,,
83533,83533,2326399,"Die Tierhaltung, und damit der Konsum tierischer Produkte, ist einer der Hauptverursacher für die größten Probleme unserer Zeit: vom Klimawandel über die Rodung der Wälder, bis hin zur Ressourcenverschwendung und Trinkwasserproblematik. Wenn Ihnen etwas an unserem Planeten liegt, leben Sie vegan.",1,0,0,,,,,,,
3287,3287,1925945,"Die Tierhaltung, und damit der Konsum tierischer Produkte, ist einer der Hauptverursacher für die größten Probleme unserer Zeit: vom Klimawandel über die Rodung der Wälder, bis hin zur Ressourcenverschwendung und Trinkwasserproblematik. Wenn Ihnen etwas an unserem Planeten liegt, leben Sie vegan. ",0,0,0,,,,,,,
5264,5264,1934511,"Die Tierhaltung, und damit der Konsum tierischer Produkte, ist einer der Hauptverursacher für die größten Probleme unserer Zeit: vom Klimawandel über die Rodung der Wälder, bis hin zur Ressourcenverschwendung und Trinkwasserproblematik. Wenn Ihnen etwas an unserem Planeten liegt, leben Sie vegan. ",0,0,0,,,,,,,
21216,21216,2004755,"Die Tierhaltung, und damit der Konsum tierischer Produkte, ist einer der Hauptverursacher für die größten Probleme unserer Zeit: vom Klimawandel über die Rodung der Wälder, bis hin zur Ressourcenverschwendung und Trinkwasserproblematik. Wenn Ihnen etwas an unserem Planeten liegt, leben Sie vegan. ",0,0,0,,,,,,,
21393,21393,2005481,"Die Tierhaltung, und damit der Konsum tierischer Produkte, ist einer der Hauptverursacher für die größten Probleme unserer Zeit: vom Klimawandel über die Rodung der Wälder, bis hin zur Ressourcenverschwendung und Trinkwasserproblematik. Wenn Ihnen etwas an unserem Planeten liegt, leben Sie vegan. ",0,0,0,,,,,,,
22061,22061,2008283,"Die Tierhaltung, und damit der Konsum tierischer Produkte, ist einer der Hauptverursacher für die größten Probleme unserer Zeit: vom Klimawandel über die Rodung der Wälder, bis hin zur Ressourcenverschwendung und Trinkwasserproblematik. Wenn Ihnen etwas an unserem Planeten liegt, leben Sie vegan. ",0,0,0,,,,,,,
28403,28403,2034747,"Die Tierhaltung, und damit der Konsum tierischer Produkte, ist einer der Hauptverursacher für die größten Probleme unserer Zeit: vom Klimawandel über die Rodung der Wälder, bis hin zur Ressourcenverschwendung und Trinkwasserproblematik. Wenn Ihnen etwas an unserem Planeten liegt, leben Sie vegan. ",0,0,0,,,,,,,
35516,35516,2064279,"Die Tierhaltung, und damit der Konsum tierischer Produkte, ist einer der Hauptverursacher für die größten Probleme unserer Zeit: vom Klimawandel über die Rodung der Wälder, bis hin zur Ressourcenverschwendung und Trinkwasserproblematik. Wenn Ihnen etwas an unserem Planeten liegt, leben Sie vegan. ",0,0,0,,,,,,,
40156,40156,2083715,"Die Tierhaltung, und damit der Konsum tierischer Produkte, ist einer der Hauptverursacher für die größten Probleme unserer Zeit: vom Klimawandel über die Rodung der Wälder, bis hin zur Ressourcenverschwendung und Trinkwasserproblematik. Wenn Ihnen etwas an unserem Planeten liegt, leben Sie vegan. ",0,0,0,,,,,,,
40494,40494,2085271,"Die Tierhaltung, und damit der Konsum tierischer Produkte, ist einer der Hauptverursacher für die größten Probleme unserer Zeit: vom Klimawandel über die Rodung der Wälder, bis hin zur Ressourcenverschwendung und Trinkwasserproblematik. Wenn Ihnen etwas an unserem Planeten liegt, leben Sie vegan. ",1,0,0,,,,,,,
42773,42773,2095071,"Die Tierhaltung, und damit der Konsum tierischer Produkte, ist einer der Hauptverursacher für die größten Probleme unserer Zeit: vom Klimawandel über die Rodung der Wälder, bis hin zur Ressourcenverschwendung und Trinkwasserproblematik. Wenn Ihnen etwas an unserem Planeten liegt, leben Sie vegan. ",1,0,0,,,,,,,
46553,46553,2110691,"Die Tierhaltung, und damit der Konsum tierischer Produkte, ist einer der Hauptverursacher für die größten Probleme unserer Zeit: vom Klimawandel über die Rodung der Wälder, bis hin zur Ressourcenverschwendung und Trinkwasserproblematik. Wenn Ihnen etwas an unserem Planeten liegt, leben Sie vegan. ",0,0,0,,,,,,,
47252,47252,2113233,"„70 Prozent unserer Produkte sind auch vegan“: Die Tierhaltung, und damit der Konsum tierischer Produkte, ist einer der Hauptverursacher für die größten Probleme unserer Zeit: vom Klimawandel über die Rodung der Wälder, bis hin zur Ressourcenverschwendung und Trinkwasserproblematik. Wenn Ihnen etwas an unserem Planeten liegt, leben Sie vegan. ",0,0,0,,,,,,,
49242,49242,2121639,"Die Tierhaltung, und damit der Konsum tierischer Produkte, ist einer der Hauptverursacher für die größten Probleme unserer Zeit: vom Klimawandel über die Rodung der Wälder, bis hin zur Ressourcenverschwendung und Trinkwasserproblematik. Wenn Ihnen etwas an unserem Planeten liegt, leben Sie vegan. ",1,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0
49556,49556,2123015,"Die Tierhaltung, und damit der Konsum tierischer Produkte, ist einer der Hauptverursacher für die größten Probleme unserer Zeit: vom Klimawandel über die Rodung der Wälder, bis hin zur Ressourcenverschwendung und Trinkwasserproblematik. Wenn Ihnen etwas an unserem Planeten liegt, leben Sie vegan. ",0,0,0,,,,,,,
50689,50689,2127877,"Die Tierhaltung, und damit der Konsum tierischer Produkte, ist einer der Hauptverursacher für die größten Probleme unserer Zeit: vom Klimawandel über die Rodung der Wälder, bis hin zur Ressourcenverschwendung und Trinkwasserproblematik. Wenn Ihnen etwas an unserem Planeten liegt, leben Sie vegan. ",0,0,0,,,,,,,
68373,68373,2200075,"Die Tierhaltung, und damit der Konsum tierischer Produkte, ist einer der Hauptverursacher für die größten Probleme unserer Zeit: vom Klimawandel über die Rodung der Wälder, bis hin zur Ressourcenverschwendung und Trinkwasserproblematik. Wenn Ihnen etwas an unserem Planeten liegt, leben Sie vegan. ",0,0,0,,,,,,,
77797,77797,2239435,"Die Tierhaltung, und damit der Konsum tierischer Produkte, ist einer der Hauptverursacher für die größten Probleme unserer Zeit: vom Klimawandel über die Rodung der Wälder, bis hin zur Ressourcenverschwendung und Trinkwasserproblematik. Wenn Ihnen etwas an unserem Planeten liegt, leben Sie vegan. ",0,0,0,,,,,,,
83397,83397,2310577,"Im übrigen gerade im Moment in Deutschland : Installierte Windkraft Leistung an Land 52,8 GW davon genutzt 0,9 GW entspricht gerade mal 1,8 %. Wir brauchen keine weiteren Anlagen - wir bräuchten mehr Wind! PS: Aufgrund dieser Wetterabhängigkeit, wäre jede andere Technologie mit einem solch oszillierenden Wirkungsgrad längst verschwunden! Quelle: www.smard.de ",1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
83388,83388,2310263,"Im übrigen gerade im Moment in Deutschland : Installierte Windkraft Leistung an Land 52,8 GW davon genutzt 0,9 GW entspricht gerade mal 1,8 %. Wir brauchen keine weiteren Anlagen - wir bräuchten mehr Wind! PS: Aufgrund dieser Wetterabhängigkeit, wäre jede andere Technologie mit einem solch oszillierenden Wirkungsgrad längst verschwunden! ",1,0,0,,,,,,,
83313,83313,2306361,Mein Mitleid hält sich in engen Grenzen!,1,0,0,,,,,,,
74685,74685,2226429,Mein Mitleid hält sich in sehr engen Grenzen!,1,0,0,,,,,,,
83267,83267,2302253,Sack Reis,1,0,0,,,,,,,
47797,47797,2115547,Sack Reis!,0,0,0,,,,,,,
73052,73052,2219627,Sack Reis ,0,1,3,0.0,0.0,0.0,1.0,0.0,2.0,0.0
73545,73545,2221669,Sack Reis ,0,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0
73682,73682,2222191,Sack Reis ,0,0,0,,,,,,,
76552,76552,2234253,Sack Reis ,1,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0
77647,77647,2238891,Sack Reis ,1,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0
83046,83046,2285463,Sehr interessant.,1,0,0,,,,,,,
33133,33133,2054589,Sehr interessant!,0,0,0,,,,,,,
38046,38046,2074947,Sehr interessant!,0,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0
64869,64869,2185411,Sehr interessant!,0,0,0,,,,,,,
68850,68850,2202135,Sehr interessant ...,0,0,0,,,,,,,
82822,82822,2260353," S-Works Sonntag, 29. September 2019, 17:31 Uhr  Ihre Kommentare sind so inspirierend und wertvoll für uns. Bitte machen Sie weiter so, bei so viel Fachkompetenz werden Sie bestimmt noch ins Kabinett berufen um die ganze Welt zu beglücken.",0,0,0,,,,,,,
18797,18797,1994067," werner1955 Dienstag, 22. Januar 2019, 18:49 Uhr  Ihre Kommentare sind so inspirierend und wertvoll für uns. Bitte machen Sie weiter so, bei so viel Fachkompetenz werden Sie bestimmt noch ins Kabinett berufen um die ganze Welt zu beglücken.",0,0,0,,,,,,,
22300,22300,2009333," HoBre Mittwoch, 6. Februar 2019, 08:54 Uhr   Ihre Kommentare sind so inspirierend und wertvoll für uns. Bitte machen Sie weiter so, bei so viel Fachkompetenz werden Sie bestimmt noch ins Kabinett berufen um die ganze Welt zu beglücken.",0,0,0,,,,,,,
31999,31999,2049743," werner1955 Dienstag, 19. März 2019, 10:47 Uhr  Ihre Kommentare sind so inspirierend und wertvoll für uns. Bitte machen Sie weiter so, bei so viel Fachkompetenz werden Sie bestimmt noch ins Kabinett berufen um die ganze Welt zu beglücken",0,0,2,0.0,0.0,0.0,0.0,0.0,2.0,0.0
82817,82817,2260333," rp-oskar Sonntag, 29. September 2019, 16:32 Uhr Meinungsfreiheit ist ein Grundrecht in Deutschland. Das bedeutet aber nicht, dass man immer zu allem seinen Senf dazugeben muss. Sich seine eigene Unwissenheit einzugestehen erfordert meist mehr Größe, als blöd daher zu plappern.",0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0
41467,41467,2089529," werner1955 Donnerstag, 25. April 2019, 13:21 Uhr  Meinungsfreiheit ist ein Grundrecht in Deutschland. Das bedeutet aber nicht, dass man immer zu allem seinen Senf dazugeben muss. Sich seine eigene Unwissenheit einzugestehen erfordert meist mehr Größe, als blöd daher zu plappern.",0,0,0,,,,,,,
68250,68250,2199573," Danke Larry_Lustig, Oliver Pocher, nein danke !!! Meinungsfreiheit ist ein Grundrecht in Deutschland. Das bedeutet aber nicht, dass man immer zu allem seinen Senf dazugeben muss. Sich seine eigene Unwissenheit einzugestehen erfordert meist mehr Größe, als blöd daher zu plappern.",0,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0
82017,82017,2256739,"Auf derartige Drohungen sollte der DFB mit sofortiger Wirkung auf Spieler des FC Bayern München in der Nationalmannschaft verzichten. Es kann ja wohl nicht sein, dass sich der DFB von einem Vereinspräsidenten eines deutschen Fußballvereins erpressen lässt.",0,0,0,,,,,,,
82015,82015,2256733,"Auf derartige Drohungen sollte man mit sofortiger Wirkung auf Spieler des FC Bayern München in der Nationalmannschaft verzichten. Es kann ja wohl nicht sein, dass sich der DFB von einem Vereinspräsidenten eines deutschen Fußballvereins erpressen lässt.",0,0,0,,,,,,,
81836,81836,2255879,Lächerlich!,0,0,0,,,,,,,
46506,46506,2110505,Lächelich!,0,0,0,,,,,,,
81814,81814,2255809,"Da greife ich mir an den Arsch, weil der Kopf mir dafür zu schade ist. ",1,1,3,0.0,0.0,0.0,0.0,3.0,0.0,0.0
80886,80886,2252163,"Da greife ich mir an den Arsch, weil der Kopf mir dafür zu schade ist.  ",0,1,3,0.0,0.0,0.0,2.0,1.0,0.0,0.0
81787,81787,2255715,"Korrektur: Wenn ich mir die Top Ten ansehe, dann sind ja mehr als die Hälfte Mittelklassewagen, die ich jetzt noch nicht mal als SUV bezeichnen würde.",0,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0
81746,81746,2255561,"Wenn ich mir die Top Ten ansehe, dann sind ja mehr als die Hälfte Mittelklassewagen, die ich jetzt noch mal als SUV bezeichnen würde.",0,0,0,,,,,,,
81745,81745,2255559,Gute Entscheidung!,0,0,0,,,,,,,
34877,34877,2061591,Gute Entscheidung. ,0,0,0,,,,,,,
81704,81704,2255345,"Der Choleriker und die Strickmammsel. Einfach gruselig. Denk ich an Deutschland in der Nacht...! Wieder eine Steilvorlage für die einzige Oppositionspartei. Özdemir sollte mit Kretschmann und Palmer eine eigene Partei gründen.  Vielleicht eine Bewegung, die den normalen Menschenverstand im Zentrum trägt.i",0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0
81685,81685,2255281,"Der Choleriker und die Strickmammsel. Einfach gruselig. Denk ich an Deutschland in der Nacht...! Wieder eine Steilvorlage für die einzige Oppositionspartei. Özdemir sollte mit Kretschmann und Palmer eine eigene Partei gründen.  Vielleicht eine Bewegung, die den normalen Menschenverstand im Zentrum trägt.",0,0,0,,,,,,,
81651,81651,2255113,"Liebe Schweden, Ihr habt Euren Spass gehabt. Nehmt Greta jetzt zurück, damit sie mit Michel aus Lönneberga im Schuppen weiter Holzmännchen schnitzen kann.",0,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
81529,81529,2254603,"Liebe Schweden, Ihr habt Euren Spass gehabt. Nehmt Greta jetzt zurück, damit sie mit Michel aus Lönneberga im Schuppen weiter Holzmännchen schnitzt. ",1,0,0,,,,,,,
81399,81399,2254129,Die Klimahysterie greift um sich.,0,0,0,,,,,,,
81183,81183,2253225,Die Klimahysterie greift um sich!,0,0,0,,,,,,,
81103,81103,2252947,Warum ist hier das Kommentarforum geöffent?,0,0,2,0.0,0.0,0.0,0.0,0.0,2.0,0.0
8624,8624,1948951,Warum ist hier das Kommentarforum geöffnet???,1,0,2,0.0,0.0,0.0,0.0,0.0,2.0,0.0
80943,80943,2252377,Ohne Worte....,0,0,0,,,,,,,
19962,19962,1999307,Ohne Worte...,0,0,0,,,,,,,
80935,80935,2252347,Wasser predigen und Wein trinken!,0,0,0,,,,,,,
40204,40204,2083903,Wasser predigen und Wein trinken.,0,0,0,,,,,,,
80342,80342,2249783,Wasser predigen und Wein trinken... ,0,0,0,,,,,,,
80653,80653,2251145,"Heute bei der Umweltdemo gesehen - Demonstranten die geraucht haben. Damit macht man sich absolut unglaubwürdig und kann nicht als ""Umweltdemonstrant"" ernst genommen werden!",0,0,0,,,,,,,
80501,80501,2250521,Heute bei der Umweltdemo gesehen - Demonstranten die geraucht haben. Damit macht man sich absolut unglaubwürdig und kann nicht ernst genommen werden!,0,0,0,,,,,,,
80562,80562,2250773,"Heute bei der Umweltdemo gesehen - Demonstranten die geraucht haben. Damit macht man sich absolut unglaubwürdig und kann nicht als ""Umweltdemonstrant"" ernst genommen werden!",0,0,0,,,,,,,
80092,80092,2248837,"„Dann liegt es an uns, zu diktieren, wie eine Gesellschaft auszusehen hat!“  Aus Hitlers „Mein Kampf“ oder von Herbert Grönemeyer, liebe Frau Hensen?",0,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
79298,79298,2245661,"„Dann liegt es an uns, zu diktieren, wie eine Gesellschaft auszusehen hat!“  Aus Hitlers „Mein Kampf“ oder von Herbert Grönemeyer, liebes ZDF?",0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0
80057,80057,2248733,"Ein Grund mehr, die AfD zu wählen.",1,0,0,,,,,,,
23134,23134,2012667,Ein Grund mehr die AfD zu wählen.,0,0,0,,,,,,,
46394,46394,2110015,"Ein Grund mehr, die AfD zu wählen...",0,0,2,0.0,1.0,0.0,0.0,0.0,0.0,1.0
79968,79968,2248365,Die Strafe kann nicht hoch genug ausfallen.,0,0,0,,,,,,,
48382,48382,2118137,Die Strafe kann gar nicht hoch genug ausfallen.,0,0,0,,,,,,,
79964,79964,2248351,Es wird immer blödsinniger!,0,0,0,,,,,,,
48074,48074,2116693,Es wird immer unsinniger!,0,0,0,,,,,,,
79930,79930,2248225,"Ein Grund mehr, die AfD zu wählen.",0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
79366,79366,2245899,"Ach, auf einmal?",0,0,0,,,,,,,
45491,45491,2106267,"Ach, auf einmal...",0,0,0,,,,,,,
79250,79250,2245445,War klar.,0,0,0,,,,,,,
45869,45869,2107743,War klar...,0,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0
79104,79104,2244831,Mein Beileid.,0,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0
32807,32807,2053287,mein Beileid,1,0,0,,,,,,,
79039,79039,2244519,Sehr gut ,0,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0
31619,31619,2048095,Sehr gut!,0,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0
51915,51915,2132815,Sehr gut. ,0,0,0,,,,,,,
56188,56188,2150337,Sehr gut!  ,0,0,0,,,,,,,
57849,57849,2157237,Sehr gut!,0,0,0,,,,,,,
57855,57855,2157249,Sehr gut!,0,0,0,,,,,,,
60766,60766,2168715,Sehr gut.,0,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0
67579,67579,2196877,Sehr gut.,0,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0
74438,74438,2225369,Sehr gut! ,0,0,0,,,,,,,
78634,78634,2242841,Nicht nur die Kleidung der Passanten ist heute eine andere. Die Passanten selber sind es auch. Heute ist es bunter.,1,0,0,,,,,,,
78399,78399,2241851,Nicht nur die Kleidung der Passanten ist heute eine andere. Die Passanten selber sind es auch. Heute ist es bunter. ,1,0,0,,,,,,,
78598,78598,2242707,Der Fisch stinkt vom Kopf her.,0,0,0,,,,,,,
11195,11195,1960589,Der Fisch stinkt vom Kopf her !,0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0
78588,78588,2242661,Bitte schließen Sie das Kommentarforum.,1,0,2,0.0,0.0,0.0,0.0,0.0,2.0,0.0
76173,76173,2232743,Bitte schließen sie das Kommentarforum.,0,0,0,,,,,,,
78582,78582,2242643,Nicht nur die Kleidung der Passanten ist heute eine andere. Die Passanten selber sind es auch. Heute ist es bunter.,1,0,0,,,,,,,
78434,78434,2242031,Gegen die Jagd!,0,0,0,,,,,,,
21399,21399,2005505,gegen die Jagd!,0,0,0,,,,,,,
49247,49247,2121657,gegen die Jagd!,1,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0
78309,78309,2241467,"Hat sich die ""Klimakanzlerin"" schon geäußert? Gibt es auf diesem Planeten eine Erwärmung und ein CO²-Problem? Können wir Greta Thunberg dahin schicken, um Pionierarbeit zu leisten?",0,0,0,,,,,,,
78128,78128,2240809,"Hat sich die ""Klimakanzlerin"" schon geäußert? Gibt es auf diesem Planeten eine Erwärmung und ein CO²-Problem? Können wir Greta Thunberg dahin schicken, um Pionierarbeit zu leisten? ",1,0,0,,,,,,,
78308,78308,2241465,"Hat sich die ""Klimakanzlerin"" schon geäußert? Gibt es auf diesem Planeten eine Erwärmung und ein CO²-Problem? Können wir Greta Thunberg dahin schicken, um Pionierarbeit zu leisten?",0,0,0,,,,,,,
78046,78046,2240499,DITO: Da bin ich aber enttäuscht vom Hennings. Was ist das denn für eine Art. Wer glaubt er zu sein? Ein wenig Bankdrücken wäre eine angemessene pädagogische Maßnahme!,0,0,0,,,,,,,
78023,78023,2240423,Da bin ich aber enttäuscht vom Hennings. Was ist das denn für eine Art. Wer glaubt er zu sein? Ein wenig Bankdrücken wäre eine angemessene pädagogische Maßnahme!,0,0,0,,,,,,,
78042,78042,2240473,"Weiß jemand genau was über Graue Stadtmüllsäcke, ich weiß, dass es wohl 70 Liter sind und 6 Euro kosten soll. Meine Frage wenn ich einmal im Monat einen raus Stellen würde oder  muss die Mags/Gem die mitnehmen?. Oder sind die irgendwie begrenzt, das man das vielleicht nicht darf.  Wo man die bekommt weiß ich allerdings nicht. ",0,0,0,,,,,,,
78037,78037,2240459,"Weiß jemand genau was über Graue Stadtmüllsäcke, ich weiß, dass es wohl 70 Liter sind und 6 Euro kosten soll. Meine Frage wenn ich einmal im Monat einen raus Stellen würde muss die Mags/Gem die mitnehmen?. Oder sind die irgendwie begrenzt, das man das vielleicht nicht darf.  Wo man die bekommt weiß ich allerdings nicht. ",0,0,0,,,,,,,
61372,61372,2171553,"Die Tierhaltung, und damit der Konsum tierischer Produkte, ist einer der Hauptverursacher für die größten Probleme unserer Zeit: vom Klimawandel über die Rodung der Wälder, bis hin zur Ressourcenverschwendung und Trinkwasserproblematik. Wenn Ihnen etwas an unserem Planeten liegt, leben Sie vegan.",1,0,0,,,,,,,
77724,77724,2239177,Mein Mitleid hält sich in engen Grenzen!,1,0,0,,,,,,,
68626,68626,2201165,Sack Reis,0,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0
72573,72573,2217621,Sack Reis,0,0,0,,,,,,,
76660,76660,2234677,Die Propaganda-Abteilung des Wahrheitsministerium macht wohl momentan Überstunden.....,1,0,0,,,,,,,
34919,34919,2061779,  Die Propaganda-Abteilung des Wahrheitsministerium macht wohl momentan Überstunden..... ,0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0
76349,76349,2233413,"Das "" N "" im Logo von RTL deutet auf Niveau hin !",0,0,0,,,,,,,
38638,38638,2077367,"Das "" N"" im Logo von RTL deutet auf Niveau hin !",0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0
76180,76180,2232765,Wir schaffen das.   ,0,0,0,,,,,,,
15552,15552,1980173,Bitte schließen Sie das Kommentarforum.,1,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0
20347,20347,2001075,Bitte schließen Sie das Kommentarforum.,1,1,3,0.0,0.0,0.0,0.0,0.0,3.0,0.0
21295,21295,2005073,Bitte schließen Sie das Kommentarforum.,1,1,3,0.0,0.0,0.0,0.0,0.0,3.0,0.0
37255,37255,2071637,Bitte schließen Sie das Kommentarforum.,0,1,3,0.0,0.0,0.0,0.0,0.0,3.0,0.0
43045,43045,2096151,Bitte schließen Sie das Kommentarforum.,1,1,3,0.0,0.0,0.0,0.0,0.0,3.0,0.0
46348,46348,2109825,Bitte schließen Sie das Kommentarforum.,1,0,2,0.0,0.0,0.0,0.0,0.0,2.0,0.0
48358,48358,2118019,Bitte schließen Sie das Kommentarforum.,1,0,2,0.0,0.0,0.0,0.0,0.0,2.0,0.0
50425,50425,2126833,Bitte schließen Sie das Kommentarforum.,1,0,2,0.0,0.0,0.0,0.0,0.0,2.0,0.0
75571,75571,2230139,Einfach nur peinlich … ,0,0,0,,,,,,,
42117,42117,2092099,Einfach nur peinlich !! ,0,0,0,,,,,,,
