text,label,five_folds,ten_folds,train_test_split
"Unglaublicher Beleuchtungs-Wahnsinn!  Lichtimmission wird im Bundesimmissionsgesetz als schädliche Umwelteinwirkung aufgeführt. Jedoch gibt es in Deutschland bisher keine Richtlinien, die konkrete Maximalwerte für nächtliche Beleuchtung vorgeben. Keine Chance für Vögel, Fledermäuse, Nachtinsekten und letztendlich trifft es auch die Menschen.  Die Ausrottung der Schöpfung geht weiter - tolle LED-Kirche!  Sofort Aufhören!",0.0,4,8,1
"….auch wenn ich noch vor Wochen/Monaten situationsbedingt einige andere Kommentare geschrieben habe, FF gebührt großer Lob und das Glück des Tüchtigen! Sein stoisches Festhalten an seinem Stil und das Durchziehen seiner Ideen geben ihm Recht. Recht so, alter Trainerfuchs, unmaßgeblich meine teils falschen Einschätzungen - sorry dafür!  Toi, toi, toi, für ihn und uns Fortuna!!! Den derzeitigen Erfolg bei diesem Leistungsniveau kann man nicht als Glück, sonder muss man als Können bezeichnen!",0.0,4,8,1
"Die Karnevalsaison fängt dieses Jahr schon ein paar Tage früher an - diesmal wird in Berlin der Hoppeditz heraus gelassen. Wieviel närrisches Treiben muss man sich von den Parteien noch bieten lassen? Die SPD scheint nun endgültig ins Abseits zu verschwinden.   Menschen, die sich für Deutschland verdient machen, indem sie die Wahrheit hervor holen, um uns vor radikalen Kräften zu schützen, werden von jämmerlichen politischen Figuren weggemobbt.  Schäme dich, Deutschland!",1.0,4,8,1
Damit wird nicht erreicht. Die idiologie heute ist doch das Regeln und Gesetzte nur zum bevormunden und Ausbeuten für  leistungsfähige Bürger und Steuerzahler gelten. ,0.0,4,8,1
"Es nervt nur noch, das jeder meint die Moral mit Löffeln gegessen zu haben und zu allem rumpöbeln zu müssen. Was anderes ist das doch nicht, fehlt nur noch die Nazikeule. ",0.0,4,8,1
"Ach. Hat man uns nicht erzählt, dass die ach so tollen Konkurrenten der Deutschen Bahn AG eine ""bessere Bahn"" machen? Wie man sieht kochen auch die wohl auch nur mit Wasser. Aber vielleicht schiebt die Nordwestbahn GmbH auch hier mal wieder die Schuld auf die ""Bundesbahn"" (häufig gehörte Durchsage in deren Zügen), wie sie es sonst auch gerne tun, wenn mal wieder zwischen Kleve und Düsseldorf nur die Hälfte des Wagenparks eingesetzt wird.",0.0,4,8,1
"Es mag ja sein, dass die Aufnahme rechtlich zu beanstanden ist. Darauf reiten alle Populisten ja auch gerne und ausdauernd herum.   Es geht aber um den Inhalt. Und der ist mehr als nur bedenklich. Dr geht gar nicht mehr. Aber das Thema fassen die Populisten lieber nicht an, weil sie sich dann mehr als nur die Finger verbrennen.",0.0,4,8,1
"Rosen ist ein Wichtigtuer und Blender. Seine Reden oder offiziellen Statements lässt er von einem Hobbyimker schreiben, der durch sexuelle Übergriffe auf Minderjährige auffallend war. Wer soetwas mit seiner Wahlstimme unterstützt, sollte sich ernsthaft psychologisch Untersuchen lassen!",1.0,4,8,1
"Traurig, dass solche Blöcke nötig sind.  Aber warum nicht zusätzlcih sinnvoll nutzen? Riesige Menschenmassen werden sich wohl kaum drum versammeln, sondern nur diejenigen, die ohnehin an dieser Ecke stehen würden, um ihren Glühwein zu trinken. 100%ige Sicherheit gibts nirgends, noch nicht mal in den eigenen 4 Wänden.",0.0,4,8,1
"Diese ganzen Umfragen dienen doch nur dazu dem Wähler einzuhämmern was er zu denken und vor allem bei den nächsten Wahlen zu wählen hat. So nach dem Motto, schwimm bitte mit dem Strom. Steter Tropfen höhlt den Stein. ",0.0,4,8,1
"Schlimm, furchtbar, unfassbar !! An Gott sollte Frau Wagner nicht zweifeln, es war nur die katholische Kirche ...",0.0,4,8,1
Die Mitarbeiter ist entweder DUMM oder Korrupt. Da kann man sich aussuchen was man will es wird auf jedenfall passen,1.0,4,8,1
"Es ist doch klar, dass ein EU-Austritt nicht mit dem Backstop vereinbar ist, beim dem die EU GB auf Dauer in der Zollunion festhalten kann.  GB sollte den harten Brexit Wagen und zugleich auf jegliche Zollkontrollen an der Grenze zu Irland verzichten. Mal sehen, ob dann die EU Irland zu solchen Kontrollen zwingen würde?",0.0,4,8,1
Wir verwehren uns doch auch gegen die innenpolitischen Entscheidungen eines anderen Staates! Also raushalten! Deutschland braucht hier nicht den Weltpolitischen Berater spielen! Die USA haben ganz andere Interessen! Schon seid Jahren! Die dulden keinen sozialistischen Staat auf dem amerikanischen Kontinenten!,0.0,4,8,1
"Das es an diesem Tag sehr warm/heiß war konnte man ja an der Reaktion des Besitzers erkennen. ""... beschuldigte die Polizisten, seinen Hund gestohlen zu haben.""",0.0,4,8,1
Mein Beitrag von 20:24 Uhr.  Bitte ersetzen Sie einzige in erste.,1.0,4,8,1
"Gestern im TV hieß es noch, es wäre Lles voller Fäkalbakterien, die krank machen können. Klingt auch logisch, die Menschen sind schmutzig. ",0.0,4,8,1
"Mag ja sein, dass die Polizei mit Null Toleranz reagiert. Gut so. Aber was dann? Mit Ermahnung nach Hause? Man muss diesen zu kurz geratenen Möchtegern-Babos die Autos abnehmen und mindestens für einen Monat wegschließen. Natürlich gegen hohe Abschlepp- und Standgebühren. 1000 Euro cash Lagerkosten für jedes beteiligte Auto. Dann hört das auf. Es wäre doch soo einfach. Auch und vor allem in einem Rechtsstaat.",1.0,4,8,1
Super!  Freier Blick vom Theater auf die Lohstraße.,0.0,4,8,1
"Da kann er sich HerrTönnies entschuldigen oder nicht , so sind eben seine Gedanken ! Es gibt eine Spruch "" Eine abgeschossene Kugel und ein gesprochenes Wort lässt sich nicht zurücknehmen "" !",0.0,4,8,1
Jetzt habe ich in 10 Minuten zwei Artikel gelesen. Den von der Skandal-Rapperin Schwesta Ewa und von dem Politzisten in der Schweiz.  Ich kann über Justitia nur noch den Kopf schütteln. Was für ein Zeug raucht dieser blinde Vogel eigentlich?,1.0,4,8,1
"""Etwa 1000 neue Wohnungen sind in den kommenden Jahren in Köln, Essen und Hilden geplant – ausnahmslos auf eigenen Grundstücken. Bis 2029 sollen alle Wohnungen fertig sein."" Ich bin begeistert, dass die LEG nur 10 Jahre braucht, um 1000 in NRW neue Wohnungen zu bauen. Immerhin sind das pro Jahr 100 Wohnungen. Wow!!",0.0,4,8,1
"Das hat was für sich - völlig unerwartet zu sterben. Jeder hat sich wohl schon Gedanken darüber gemacht, wann und wie er sterben wird. ",0.0,4,8,1
"In so einer Live-Talkrunde müsste man sich nur trauen, Nahles einmal zu fragen, in welcher Berufssparte, außer Politik, sie ihren Unterhalt verdienen könnte! Nahles hat N I E etwas gelernt! Sie ist im Sinne der Arbeitswelt eine Ungelernte, ohne Ausbildung, ohne Studium. Vielleicht hat sie auch nur deshalb ein ""Herz"" für Asylanten?!?",1.0,4,8,1
"Warum spielen immer muslime terrorspiele ? Und das weltweit. Wenn wir den Kampf um das Wasserloch in Afrika mal rauslassen, sind 95 % der aktuellen Kriegshandlungen / Anschlaege islambedingt ! Ja groko, holt mal noch mehr von den geistig Minderbemittelten ins Land. Die schaffen uns. Ist doch wohl das eherne Ziel von ADK oder besser bekannt auch als 'Erika'. ",1.0,4,8,1
"Den Individualverkehr zu fördern, kann nie falsch sein.",0.0,4,8,1
Infernalische Gier und Menschenverachtung haben ein Gesicht: Lars Schlecker.,1.0,4,8,1
"Der Begriff ""Eilmeldung"" wird in letzter Zeit aber auch immer freizügiger von Euch benutzt, Liebe RP ...",0.0,4,8,1
In etwa 750 Kilometer Entfernung sind 14 Millionen Menschen vom verhungern bedroht. Bei uns in Deutschland sind es dann 14 Millionen die um die Mittagszeit bereits besoffen sind.,0.0,4,8,1
Was ist denn mit den Selbstständigen? Ich will auch mal ein Jahr innehalten! Wer kümmert sich um meine Firma und meine Arbeitnehmer? Wer zahlt die Steuer und die Gehälter?,0.0,4,8,1
"Vielleicht muss Herr Yakin das ertragen, wenn man bedenkt, was seine Landsleute hier täglich anrichten.",1.0,4,8,1
Und das Gericht der Europäischen Union macht ganz aktuell keine Hoffnung. https://curia.europa.eu/jcms/upload/docs/application/pdf/2018-12/cp180198de.pdf ,0.0,4,8,1
"Da hat der Herr Bonin ein Zeichen gesetzt."" Ich bestimme wie die Stadt gestaltet wird"". Nicht der Bürger der evtl. bessere Ideen hat. Ist ja fast wie eine Alleinherrschaft. Verstehe auch den Rest des Stadtrates nicht. Da müssten doch einige normal denkende Menschen sitzen. Oder sind das alles nur Ja Sager ?",0.0,4,8,1
Frau Bär hat auch ihr Gutes. Sobald sie ein Mikro ergreift schalte ich um.  Warum?  Ihr fränkisches Tinnitus-Hochdeutsch ist nicht zu ertragen. Besser schweigen und als Narr scheinen als reden und jeden Zweifel beseitigen. (A. Lincoln) Have a nice day!  ,1.0,4,8,1
 Wir fahren mehr Fahrrad als mit dem Auto.Aber man lebt teilweisse sehr gefählich.Weil Radwege von Autos blokiert werden.Meiner Meinung kann Deutschland noch viel von Holland lernen.Da weiß jeder das man auf Radfahrer rücksicht nimmt.Da ist vielles entspannter,0.0,4,8,1
"Bilanz der gläubigen Nachfolger Mohameds von heute: mehrere hundert Verletzte bei zwei Anschlagen und ein Korb Brötchen für Obdachlose, um für den Islam zu werben.  Mein Fazit: Auch wenn ich diese Aktion grundsätzlich begrüße, lehne ich den Islam wie jede andere faschistoide Ideologie dennoch aufs schärfste ab. ",1.0,4,8,1
"Jede Stadt hat Probleme mit dem ÖPNV! Schaut mal nach Duisburg! Da ist es abscheulich, was die DVG liefert. Die Probleme die wir haben sind luxus Probleme. Und schade, dass ihr andauernd auf die Rheinbahn rumhacken müsst! Wir sollten froh sein, dass es sie gibt!",0.0,4,8,1
"Oh Gottogott. Immerhin besser als Kopftuch. Jedenfalls hier. Wenn wir sonst keine Probleme haben, dann ists ja gut.",1.0,4,8,1
Der Mann wird total überschätzt und hofiert. Alles immer nur da selbe Bla-Bla-Bla der Grünen Spinner.,1.0,4,8,1
"Ein nenuer Tag, ein neues völkerrechtliche Verbrechen des Trump-Regimes. Ein neuerTag, eine neue Korruptionsaffäre der Familien Trump: politische Gefälligkeiten gegen Baugenemigungen und Grundstücke für die Kushners. Ein neuer Tag, eine neuer Anschlag des US-Präsidenten auf den Frieden irgendwo in der Welt, um seine schmierigen Waffengeschäfte am Laufen zu halten, mit denen er die US-Wirtschaftsbilanz besser lügen möchte. ",0.0,4,8,1
"immer nur Geld fordern.......  wie wäre denn mal zu überlegen ohne Geldspritze was zu unternehmen. wie beteiligt sich eigentlich der ""Verursacher"" RWE daran. Hier wurde der ""Strukturwandel"" gänzlich verpennt. Schlecker, Commerzbank, Air Berlin u.s.w haben kein Geld für ihren verpennten Strukturwandel bekommen. RWE sitzt das aus, und der Steuerzahler wird bluten durch die unverschämtem geistlosen Forderungen der Politiker.",0.0,4,8,1
"Das kommt dabei heraus, wenn frau eine Technik nutzt, die sie nicht beherrscht ... Ein simples TV-Gerät wäre wahrscheinlich die beste Lösung.",1.0,4,8,1
"Meine Vernunft sagt mir, dass wir in den letzten Jahren nicht annähernd so viel zusätzliche Tote, Verletzte und Vergewaltigte zu beklagen hätten, wenn nicht - wider jede Vernunft - über 1 Mio. Araber und Afrikaner ins Land geholt worden wären. Es glaubt doch wohl niemand, dass solche Dinge in dieser Häufung auch bei 1 Mio. Dänen oder Holländern geschehen wären, Sammelunterkünfte hin oder her. Und übrigens, ich habe noch nie AfD gewählt und werde es auch nicht tun.",1.0,4,8,1
"Ekel Alfred: ""Deutschland ist insgesamt mit 82 Millionen Menschen überfüllt"" ... und die armen Holländer können keinen Fuß mehr vor den anderen setzen. Wie halten die diese Enge nur aus? Deutschland 226 Einwohner/km² Holland 488  Einwohner/km²  aber ... m8 nix!",0.0,4,8,1
"Es gibt viel zuwenig Lehrer. Der Beruf ist nicht attraktiv. Die Bezahlung ist nicht ordentlich. Dafür ist kein Geld da. Ach so, klaro - aber für die Bankenrettung, den Atomausgleich und die Automafia ist immer Geld da.  Ich sag ja immer wieder: Augen auf beim Stimmen-Verkauf !",0.0,4,8,1
"Da ist er wieder auf freiem Fuß,der sonnengebräunte Ganove,einstiger Weltstar,grinst noch unverschämt in die Kamera,einfach nur erbärmlich und widerlich,was aus diesem einst tollen Fußballer,einem Held und Vorbild meiner Jugendzeit,geworden ist,nämlich ein korrupter Verbrecher. Fehlt nur noch das Victory-Zeichen!!!",1.0,4,8,1
"Merke: Ohne uns Fortunen geht gar nix, Pannekopp! Am besten, du bleibst gleich bei deiner Juxveranstaltung in Arosa!!! ",1.0,4,8,1
Wir sollten uns neue FReunde suchen und endlich einen friedensvertrag abschließen.,0.0,4,8,1
"In Frankreich würden die Bürger den Müll vors Rathsus kippen. Ich hege eine gewisse Sympathie für ein Zeichen, das den Verantwortlichen im hahaha „Oberzentrum“ MG einmal deutlich die Meinung geigt. ",0.0,4,8,1
"Wahrscheinlich ist das für den Eigentümer eine perfekte Schrott-Immobilie. Damit senkt der dann perfekt seinen Gewinn und muss schön weniger Steuern zahlen. Genau dafür müssten solche Unternehmen auch gnadenlos bestraft werden. Aber das deutsche Gesetz ist so altbacken. Auf jeden Fall ist damit die Qualität für den Standort Rheydt massiv gefährdet. Bin gespannt wann die EU ihre Fördergelder für den Markt zurück haben will, den schließlich sind am solche Gelder klare Bedingungen geknüpft.",0.0,4,8,1
Die Justiz hätte sich mit dem Anzeigenerstatter beschäftigen sollen. Dieses Verfahren eriinert doch stark an den Hauptmann von Köpenick. Damals hatte der Kaiser nur gelacht. ,0.0,4,8,1
"*Verstehen*? Dazu muss man auch etwas hören. Worte wären hilfreich. *Humor*? Ja, echt witzig die Dame. So aufgeschlossen und pointiert. Eben offen und sympatisch wie Neuss und der gesamte Niederrhein. *Ich strull mir inne Büx* Humor ist, wenn man trotzdem lacht.....",0.0,4,8,1
"Ich schliesse mich Kurt Knatters Ausfuehrungen im vollen Umfang an: Weder Maassen noch irgend ein anderer ""Lakai"" ist direkt hierfuer verantwortlich! HAUPTVERANTWORTLICH, in welchem Sinne kann sich jeder selbst aussuchen, ist in meinen Augen ausschliesslich AM! Und nach dem gestrigen Beschluss des ""Bundessicherheitsrates"" klebt ab sofort noch mehr Blut an deren Haende!",1.0,4,8,1
"Man muß deas Video tatsächlich in Zeitlupe sehen, dann ist eindeutig zu erkennen, daß ein Schlaggegenstand benutzt wurde (sekunde 27/28)und dieser anschließend an den Mittäter übergeben wurde(sek . 35) Hier ist es z.B. in Zeitlupe zu sehen:  www.journalistenwatch.com/2019/01/11/eil-video-taeter/",1.0,4,8,1
"Schade, auch in österreichischen Medien ist nicht genau zu lesen, welchen Akzent denn genau die Täter sprachen. Auch nicht, ob eher osteuropäisch oder doch südosteuropäischer ""Teint"". Das sind wichtige Hinweise zur Ergreifung dieser feigen Hunde!",1.0,4,8,1
"Na hoffentlich kandidiert die Bundestagsabgeordnete zur OB. Wäre ein politischer Lichtblick im kommunalen Alltag. Erfolge hat sie in Düsseldorf im Übrigen reichlich. Ohne StraZi gäbe es z.B. den KöBogen nicht. Ideologiefrei - pragmatisch - gradlinig - ehrlich. Wer sie erlebt hat, weiss diese Eigenschaften an ihr zu schätzen. ",0.0,4,8,1
"So sieht es aus, wenn so stolze Manager zu Kreuze kriechen. Natürlich hat Trump sein Ziel erreicht und die EU-Politiker vorgeführt. Und er wird noch mehr Ziele erreichen.",0.0,4,8,1
"Fraglich ist schon was ein solches Handynutzungsverbot bewirken soll, denn schließlich können die Schüler diese App auch außerhalb der Schule bedienen und dies kann keiner verbieten. Sinnvoller wäre es mit den Schülern zu reden oder auch in Extremfällen gezielt dagegen vorzugehen. Das sollte dann möglicherweise mehr abschrecken als solche Rundumschläge. ",0.0,4,8,1
"Wir brauchen zwei Eingänge D und MA D steht für deutsch MA steht für Migration. Ausländer (Passkontrolle, Fingerabdruck, Durchsuchung nach Waffen, etc.) Bei Ryan air heisst das Priority. ",1.0,4,8,1
"Scheuer pustet seit Wochen viel zu viel Schwachsinnsemissionen in die Luft und sollte deshalb schnellstmöglich stillgelegt werden. Deutsche Umwelthilfe, bitte übernehmen Sie!",1.0,4,8,1
"Was für ein selten dämlicher Spruch, der andrerseits die Unfähigkeit und Hilflosigkeit unserer Politiker gegenüber dem organisierten Verbrechen bloß stellt. Es geht nicht darum diese Verbrecher und Kriminellen ein wenig zu ärgern, sondern um sie durch harte Gefängnisstrafen einer Justiz die ihren Namen verdient, langfristig aus dem Verkehr zu ziehen.",0.0,4,8,1
"Pfannenstiel muss beim nächsten Heimspiel hören und fühlen, dass er in Düsseldorf nicht bleiben kann. Erst dieser, wie ein anderer Forist schon bemerkte, Managementfehleinkauf eines aussortierten Fussballrentners und jetzt der Trainer, der die Mannschaft zu dem geformt hat, wie einst Norbert Meyer, zu einem Team. Ich werde überdenken,ob ich meinen Mitgliedsausweis nicht jetzt zurückgebe. Lieber Herr Funkel, an Dich werde ich mich immer gerne erinnern. ",0.0,4,8,1
"Dreist! 50 Schueler kuendigen jetzt schon oeffentlich an, dass sie am naechsten Freitag die Schule schwaenzen werden! So richtig es ist,  Eltern dafuer zu belangen, wenn sie ihre Kinder aufgrund von Angeboten, 2-3 Tage vor Ferienbeginn der Schule fernhalten, umso konsequenter muessten die Behoerden auch hier hingehen und die Eltern zur Verantwortung ziehen! Wenn schon denn schon! ",0.0,4,8,1
"Ja genau, aufgrund des Fehlverhaltens eines einzelnen Menschens müssen neue Regeln, nein  besser noch Gesetze her! Können unsere Politiker eigentlich nur noch Sch....hausparolen???",1.0,4,8,1
"Nicht Deutschland muss noch mehr für Afrika tun, sondern Afrika selbst, nämlich mehr Kondome benutzen.",1.0,4,8,1
"Falls noch nicht bekannt ""Am Sportplatz"", http://www.monheimer-strassenkampf.de/ alles Gute ",1.0,4,8,1
Scholz hat schon beim G20 in HH versagt und wird auch den Soli nicht abschaffen ! Da sind wohl irgendwo Wahlen ?,0.0,4,8,1
Da muss man sich ehrlich fragen ob Herr Brinkhaus die richtige Wahl als Fraktionsvorsitzender war. Macht der Wahlkampf für Schwarz oder Blau? ,0.0,4,8,1
"Leider sind die Frauen in der Arbeitswelt oft nicht so produktiv. Viele Frauen gehen ja auch mehr Arbeiten, um mit ihrem Geschwätz die Anderen von der Arbeit abzuhalten.  ",1.0,4,8,1
"In der Sozialpolitik muß es zuerst heißen: Jeder ist für die Erwirtschaftung seinen Lebensunterhalts selbst verantwortlich. Nur in Notfällen steht die Solidargemeinschaft zur Hilfe bereit. Danach gilt, daß derjenige, der arbeitet, mehr haben muß als derjenige, der von der Sozialgemeinschaft Hilfe erhält. Es ist und bleibt Hilfe der Sozialgemeinschaft und kein Anspruch an sie.",0.0,4,8,1
"Immer dieser vollumfassende Schutzanspruch, für Alle und jeder Lebenslage. Eigenschutz und Eigenverantwortung, völlig überflüssig. Der Staat regelt und bestimmt alles. Wozu soll ich überhaupt noch etwas tun? Der Staat regelt das dann schon über Anpassung und Ausgleichszahlung. Solange es den Staat gibt und er vor lauter Schutz noch funktioniert. So schafft man sich die gewollten, selbständigen und mündigen Bürger. Den 2. Teil liefern die Grünen dazu, mit ihren Verboten und Geboten.",0.0,4,8,1
"Polen, ein Land der Nimmersatten. Mitnehmen was immer geht, aber es ist nie genug. Haben unser Ostpreußen geschenkt bekommen, der wahrscheinlich beste Teil Polens. Dann sollten wir jetzt auch mal eine Rechnung aufmachen. Jetzt dann auch noch 600 Mrd. haben wollen. Den Goldzug haben sie doch auch schon.   ",1.0,4,8,1
"Sellt sich die Frage, warum wurden die Fahrzeuge nicht als tatnotwendiges Mittel eingezogen?",0.0,4,8,1
"Für 200 Millionen hätte man 20 Experten für 20 Jahre mit einem Gehalt von 500.000 Euro jährlich anstellen können. Allein daran sieht man schon den Irrsinn, den von der Leyen sich da geleistet hat. Und nun will sie noch mal den gleichen Betrag als Nachschlag. Man sollte die Dame mal auf ihre Zurechnungsfähigkeit überprüfen lassen.",1.0,4,9,1
"Und wieder ein Parade-Beispiel dafür, was mit Menschenrechten passiert, wenn der Islam an der Macht ist.... (wer das anders sieht gebe mir ein einziges Beispiel)  Daher wehret den Anfängen: - kein Muslima-(gerne verkauft als Frauen-) Badetage - religiöses Kopftuchverbot in allen öffentlichen Bereichen/Ämtern - keine Rücksichtnahme bei Gerichtsprozesse auf jegliche Religion - keine Duldung von Zweitfrauen .....",1.0,4,9,1
"Und? Übermorgen sind die doch wieder auf freiem Fuss. Fester Wohnsitz, günstige Sozialprognose.",0.0,4,9,1
"Super Inszenierung ever: Trump gibt sehr gut ""The Bad Boy""  Alle Spots sind auf ihn on stage gerichtet, auf Donald Trump. Derweil im Dunkeln die viel größeren, mächtigeren, clevereren Schurken ( u.a. à la Barac Obama ) ihr schmutziges Geschäft ungestört weiter betreiben.  Klasse Nummer. Die ganze Medien-Welt fällt darauf herein bzw. macht tatkräftig mit und verbreitet fleißig Nebelkerzen.  P.S. Dito der ganze Brexit-Käse.",0.0,4,9,1
"Die Kommentare zeigen wieder, dass es in diesem Land keinen Erziehungskonsens gibt. Die nächste Generation wird noch selbstsüchtiger, arroganter und unsozialer als die vorherige. ",0.0,4,9,1
"Liebe ZEIT-Leserinnen, liebe ZEIT-Leser, bitte beachten Sie: wegen des morgigen Weltfrauentags arbeiten die weiblichen Mitarbeiterinnen des ZEIT-Verlags morgen nicht.  Der Betrieb läuft wie gewohnt weiter.     — DIE ZEIT (@DIEZEIT) 7. März 2019",1.0,4,9,1
"Rakete, ich will SIE vor Gericht sehen  und zwar als Angeklagte !",1.0,4,9,1
der Artikel stimmt 100 % ich möchte da auch nicht wohnen wollen woher das kommt siehr man doch tagtäglich wenn man mal mit offenen Augen durch die innenstadt von krefeld geht. Diese Atmosphäre braucht denke ich hier keiner daher wohne ich schon lange weit von der City entfernt genau wie viele andere auch ,0.0,4,9,1
"Selbst wenn in China ein Sack Reis umfällt, wird das noch als ""Begründung für den hohen Ölpreis"" genommen - wer glaubt das denn noch ...",0.0,4,9,1
Oder offener Vorschlag an den BVB Vorstand Ihr bekommt Hazard für 35 Mio. und wir dafür ein 4:1 Sieg zum Saisonabschluss. :-) Meister wird ja leider eh der Hausherr der Arroganz Arena.,0.0,4,9,1
"Ich gebe zu den Artikel gar nicht erst gelesen zu haben. Aber mal ehrlich: Wen wunderts? Mich nicht! Das sind alles absehbare Entwicklungen, die dazu führen. Demnächst möchte auch niemand mehr zum Ordnungsmt oder der Polizei, Rettungsdienst...",0.0,4,9,1
"Ich fände in dem Zusammenhang einen Artikel toll, in dem aufgeführt wird, was denn aus den bisherigen Abschlusserklärungen so geworden ist.",0.0,4,9,1
"Wenn man Staub sechs Wochen liegen lässt, dann vermehrt er sich nicht mehr. Problem erledigt. Warum also Frühjahrsputz? Verschafft mir, außer es geht um Chromteile am Motorrad, keine Befriedigung. Also lass ich es. Wenn Frauen also putzen wollen - sollen sie ruhig. Selbst schuld!",1.0,4,9,1
"Auch so kann man die eigene Wirtschaft ankurbern. Hier das Pfand,  da neues Personal für die Rücknahme und ""Nachbearbeitung"" und dann die Preissteigerung des Produktes für die benötigten Personalkosten. ....und wer bezahlt das alles ????  Die Antwort liegt doch wohl auf der Hand, oder??? ",0.0,4,9,1
"Wenn man sich deren Politik in NRW anschaut und ihren Festtagsreden Glauben schenken mag, droht uns wohl jetzt allen die DDR 2.0 ...",0.0,4,9,1
"Made in Germany-----sollte besser heißen, Fusch in Deutschland und das besonders bei der Industrie, siehe Autohersteller,etc. Und besonders unser   ""Industrieschutzengel""   die Bundesregierung ist auf beiden Augen blind---was für LUSCHIS.",1.0,4,9,1
"Den Juden zu hätscheln und zu tätscheln bedeutet „Frieden für Europa, Israel und die ganze Welt“. Jude hier, Nazi da, Post aus dem Ghetto. Die Judenfrage – das Eichmaß der „anständigen Menschen“.",1.0,4,9,1
Mal wieder in Deutschland und in NRW untergetaucht. Mal wieder Flüchtlinge. Mal wieder Muslime. Mal wieder keine Abschiebung. Durch das neue Einwanderungsgesetz wird alles noch schlimmer. Hoffentlich kann uns die AfD noch helfen.,1.0,4,9,1
"Wenn man , wie ich , beruflich  70.000 km fahren muss, wird man , glaube ich , bei Stau etc ruhiger und gelassener. Es ist so , wie oben beschrieben, Hupen nützt nix, Rettungsgasse bilden, hilft Stau schneller zu beenden. Höflichkeit schadet überhaupt nicht ! Im Gegenteil!   U.S.W. u.s.w..!!",0.0,4,9,1
"""MASZ"" ist eine sehr gute Kandidatin, die wirklich weiß, wie Düsseldorf tickt - im Gegensatz zu dem Zugereisten. Wenn sie jetzt noch so konsequent wäre, noch vor Jahresende ihr MdB-Mandat aufzugeben, um sich wieder zu 100% der Kommunalpolitik zu widmen, dann täte auch die CDU sehr gut daran, erst gar keinen eigenen OB-Kandidaten aufzustellen, sondern MASZ ab heute so voll uns ganz zu unterstützen, als wäre sie eine aus den CDU-Reihen. Glück auf, ""Stracki""!",0.0,4,9,1
