text,label,five_folds,ten_folds,train_test_split
"Der schwarz-beärmelte Amts-SCHIMMEL grüßt ausgerechnet aus DER Kantine, wo im Ministerium die Vorschriften zusammengebastelt werden. Hollywood oder Balbelsberg hätten dieses Drehbuch nicht realer schreiben können!",0.0,4,8,1
SP...  Die Faschisten sind wieder da. Nennen sich jetzt Antifa.,1.0,4,8,1
"""Greta Thunberg findet Termin für deutschen Kohleausstieg absurd.""  Das wird jetzt wohl der grün indoktrinierte  ""Volkssturm"" nachdem man sich zum Thema Klimaschutz und den dauernd wiederkehrenden Ungereimtheiten lächerlich und unglaubwürdig gemacht hat.  Und Pippi Langstrumpf macht sich artig und  brav die Welt wie es ihr gefällt.",0.0,4,8,1
"Die Meldung, dass Moses von Gott die zehn Gebote empfangen hat, ist eine der größten Fake-News der Geschichte. ",1.0,4,8,1
Freiwilliges Soziales Jahr. Würde dem ein oder anderen User hier auch mal ganz gut tun.,0.0,4,8,1
seht zu das ihr nochmal mit dem Hund raus geht und dann aber !!!!!,1.0,4,8,1
"Wenn ich die Wahl habe zwischen einem ""schönen"" Steak und einem Großteil der heutigen weiblichen Mitbewohner (früher Frauen genannt) - lege ich mir schon mal Messer und Gabel bereit und zapfe mir ein frisches Bier dazu.",0.0,4,8,1
"Wenn ich mir das Ergebnis der Europawahlen angucke, werden wir die Anti-Terror-Poller noch länger brauchen.",1.0,4,8,1
"Jeder Euro der zur ""Sicherung"" unserer derzeitigen Mannschaft und den Erhalt des gesamten Trainerstamms usw. beitragen kann - muss eingesetzt werden.  Schaffen wir es 90+% der derzeitigen Mannschaft hier zu behalten - steht uns eine ordentliche Truppe für das zweite schwere Jahr  in der 1. Bundesliga zu Verfügung.  95ole ",0.0,4,8,1
"Leute in Deutschland, ausgenommen Bio Deutsche, dürfen in diesem Land alles und es wird geduldet. Man sieht es an diesen Hochzeitskorsos. Jeder will mal und möglichst den Vorgänger übertreffen. Macht sich gut in der Hochzeitssammlung und es passiert doch nichts. Ist doch so schön fremdländisch und bunt. Bis es dann Gewohnheitsrecht ist. ",1.0,4,8,1
Warum sich die Feuerwehrleute nicht mal erheben bspw. Mit einer Mahnwache ähnlich wie Berlin bleibt mir ein Rätsel aber vielleicht ist der Grossteil ja ganz zufrieden ?! Es könnte ja sein das man resigniert hat in den Reihen der Feuerwehr.....  Ganz nach dem Motto: Hauptsache das Gehalt kommt pünktlich und wie plane ich meinen Nebenjob bei der ganzen Freizeit nach dem 24 Std Dienst ......man weiss es nicht ....aber Geduldig sind sie ja bei der Mannschaft der Feuerwehr .,0.0,4,8,1
Ist ja großartig!,0.0,4,8,1
Wir müssen hier über eine Hetzjagd sprechen. Oder gilt das nur im umgekehrten Fall?,1.0,4,8,1
"Die Rolex Sawsan mal wieder...  äh, snoopy, für sie ist jeder ein Deutscher, der hier leben möchte?  Aber sonst geht es ihnen gut, oder?",0.0,4,8,1
"So ist das: Bei Kommentaren wird man entweder in die rechte Ecke gestellt, oder man wird Verhinderung der notwendigen Zusammenarbeit gezeiht. Sei es drum: Nicht mehr meine Kirche.",0.0,4,8,1
"Weihnachtsmärkte müssen durch Merkel-Poller gesichert werden, in Freibädern wird Security eingesetzt, private Häuser werden gesichert wie Hochsicherheitstrakte (""My Home is my Castle""), die Fahrt mit dem ÖPNV ist in manchen Städten inzwischen eine kulturelle Bereicherung, auf die man verzichten möchte. Aber - wir schaffen das !",1.0,4,8,1
"Richtig so!  Die Sicherheit ist wichtig!  Wenn es nach mir ginge, können sie auch noch mehr fällen!",0.0,4,8,1
"Der größte Lump im ganzen Land das ist und bleibt der Denunuziant.  Wenn die Stadt Düsseldorf meint, StaSi-Like das Denunziantentum  fördern zu müssen dann sollten wir Bürger das auch unterstützen und jeder täglich mindestens zehn Vergehen melden. Und natürlich auch regelmäßig nach dem Bearbeitungsstand fragen ...  Mit besonderem Augenmerk bitte auf Fahrzeuge mit Kennzeichen wie  D-0???, D-1??? usw ",1.0,4,8,1
"Ich werde wohl nie erfahren, was eine ""rotzige Verpeiltheit"" ist (s. 2 Fragen). Aber auf meine Nachfrage nicht zu antworten, ist ""rotzig"" oder läßt den Ausdruck als gedankenloses Schwafeln erscheinen.",0.0,4,8,1
"Wie tief muss man geistig in einer heimatfeindlichen Toleranz-Diktatur leben, um solch' einen gewagten Spruch zu äußern?",1.0,4,8,1
"Es ist sehr traurig,das so Spiele nicht gewonnen werden,denn das sind die Gegner wo man unbedingt die Punkte holen muss,auch ist es noch ein weiter Weg in Punkto Play-Off oder besser gesagt Prey-Play Offs,weil der Vorsprung schnell verspielt ist,wenn man selbst nicht punktet.Wie der Spielplan es zeigt es wird nicht leichter.",0.0,4,8,1
"Was soll dieser Artikel RPO? Mich interessiert es NULL, wie eine türkische Hochzeit abläuft. Mir ist es wichtig, dass nachher keine Blockaden, Schüsse oder sonst was in der Richtung ablaufen.  So wird keine Akzeptanz geschaffen und wohin das noch führen wird, dürfte allen klar sein.",1.0,4,8,1
"Für mich war es schon immer undenkbar in der Türkei Urlaub zu machen, solange es dort einen Diktator Erdogan gibt! Und nach diesen Vorgängen kann ich es auch kaum nachvollziehen, daß es immer noch genug Leute gibt, die meinen dort unbeschwerten und sicheren Urlaub zu machen. Es gibt im gesamten Mittelmeerraum genug Länder, die sicher sind. Türkeiurlaub? Nein danke, niemals!",0.0,4,8,1
"Wer beleidigt wird, fühlt sich geehrt? Mein Gott, was toben hier für Schwachköpfe durchs Forum.",1.0,4,8,1
Das Klima können wir ja ändern aber bei unsere R2G Bevormunder  geht das nicht. Die müssen wir einfach nur durch gute alternativen ersetzten. ,1.0,4,8,1
"Ich frage mich schon seit einiger Zeit, warum gerade diese beiden nie eingesetzt wurden. Auch Beyer hat aus meiner Sicht viel zu wenig Einsatzzeit bekommen. Gut das der Verursacher DH endlich weg ist.",0.0,4,8,1
"Die Überschrift zum Artikel ""Kanzlerin Merkel fordert ""Deeskalation und Dialog"" von Putin"" ist so was von unkorrekt, weil ganz offenbar wohl nur die halbe Wahrheit. Auch gegenüber ""Putin"" sollte die RP wahrhaftig sein und nicht einem ""mro"" auf den Leim gehen!",0.0,4,8,1
Das Problem wie oft sind die scheinbar Selbstverständlichkeiten anderer Kulturen die bei uns ausgeübt werden.,1.0,4,8,1
"Bestimmt meint Frau Schoof den ""2. Arbeitsmarkt"" der Leiharbeitfirmen. Die ""Seelenverkäufer"" suchen ständig Leute, die unter den offiziellen Tarifen der Industrie arbeiten. Vielleicht erinnert sich noch der ein oder andere, dass der massive Abbau von Festanstellungen in den Berieben allein durch Schröders Agenda 2010 verursacht wird.",0.0,4,8,1
"Alter Hut. Das heimliche Einsteigen innen Pütt ist doch längst Trendsportart, so wie vor zwanzig Jahren das S-Bahn-Surfen. In der Szene kursieren mittlerweile Dutzende Videos, und zwar nicht nur von Prosper Haniel. ",0.0,4,8,1
"Was ist mit den Opfern ? Warum wird der Täterschutz immer wieder vor den Opferschutz gestellt ? Wer fragt danach, wie es für das Opfer weitergeht ? Wer vergewaltigen kann, kann auch bestraft werden !!",0.0,4,8,1
" nur noch halb so viele Katholiken?  Ist doch gut so. Wir haben doch gute alternativen. Islam, Salafisten usw... ",1.0,4,8,1
"So what??? Was ist das denn bitte für ein Bericht, sollen wir jetzt jubeln oder uns Gedanken über die Kosten machen, die wir als Steuerzahler in diese Projekt gebuttert haben? Eigentlich ist es eine Schande. Ich mache mir mehr Gedanken um die Kosten und die Projekte, die unsere Stadt als nächstes in den Sand setzt, für die wir dann als Einwohner zahlen dürfen, oder das Geld für andere wichtige Projekte gekürzt oder gestrichen wird.",0.0,4,8,1
"Vielleicht sollte Frau Höning mal erklären, was die AfD genau damit zu tun hat. Im Übrigen geben wir jährlich insgesamt ca. 55 Milliarden Euro für die Flüchtlinge aus. Den Kohleausstieg können wir uns daher locker leisten und noch vieles mehr.",1.0,4,8,1
"""vor allem, weil seine Tochter das Ganze miterleben musste.""  Ja, ja, die Tochter muss sich jetzt bestimmt in psychologische Behandlung begeben.  Warum ist der Held denn nicht zu den Ordnungshütern gegangen und hat Anzeige erstattet?  Und wie sehr muss man seine Eltern nicht mögen, wenn man ihnen Freikarten für ein Freundschaftsspiel der ""Mannschaft"" gegen Serbien schenkt?",1.0,4,8,1
"Ich finde da ist ganz klar eine Frauennachnamengleichberechtigugnsquote fällig!  Meine Lösung sieht so aus: jeweils ein drittel nimmt den Namen des Mannes an, das weitere drittel den der Frau. Zu guter letzt, darf sich das letzte drittel dann, völlig aus genderischer Korrektheit, zukünfitg ""Divers"" auf das Klingelschild schreiben. Klingt super, oder? ",0.0,4,8,1
"Worin besteht eigentlich der Unterschied zwischen ""Schleppern"" und ""Seenotrettern""?  Beide bringen Flüchtlinge auf ihrem Weg nach Europa weiter. Beide benutzen dafür Schiffe, die eigentlich dafür nicht geeignet sind. Beide vertrauen darauf, dass irgend ein Land schon ihnen ihre menschliche Fracht abnehmen und sie bis an den Rest ihres Lebens versorgen wird.  Ist am Ende der einzige Unterschied, dass die einen Geld für die Überfahrt nehmen und die anderen nicht?",1.0,4,8,1
Der Doppelpass-Inhaber,1.0,4,8,1
"""seien vorübergehend in Gewahrsam genommen worden"" War ja wohl auch das Mindeste was die Polizei da machen konnte, schließlich hatten diese Chaoten sich da über Standen den Arsch (sorry) abgefroren. ",0.0,4,8,1
Weil sie keinen Flüchtlingsstatus haben !,1.0,4,8,1
"stehen , quasseln , gaffen , höhren , rauchen , saufen , fressen - alles passive für die passiven . ",1.0,4,8,1
"Wann merken die Amerikaner endlich, dass ihre Verfassung, die vor 200 Jahren vielleicht noch wegweisend war, heutzutage zu viel Mist enthält. Es ist absolut überflüssig, einer einzigen Person so viel Macht zu geben.",0.0,4,8,1
"Hallo RPO Woher wollen Sie wisen, dass die Person auf dem Bild ""links"" eine weibliche Person ist?  Alles frei nach dem Motte: ""Glauben heißt nicht Wissen"" ? ",1.0,4,8,1
"Herr Böhmermann ist sich mittlerweile auch für keine Schlagzeile zu schade, um irgendwie in die Medien zu geraten. Muss er wohl von Frau Roche übernommen haben.",0.0,4,8,1
Der Westen wird nach und nach folgen...,1.0,4,8,1
"Die Überschrift stimmt so nicht, es wurde nicht über den Migrationspakt abgestimmt. Es wurde über einen Antrag der Koalition abgestimmt. Viele der Abgeordneten, die sich enthalten oder dagegen gestimmt haben, haben ausdrücklich erklärt, für den Pakt, aber gegen den Antrag zu sein. ",0.0,4,8,1
"Welche Schätze Europa verliert? Dafür haben wir Millionen neue ""Goldstücke"" dazu bekommen. ",1.0,4,8,1
Unser Beileid der Familie. -   Auch  L. Martinek geht viel zu früh !!!! - ,0.0,4,8,1
"Grünen-Bashing auf durchaus nachvollziehbare Gedanken von Robert Habeck. Geld regiert die Welt bei der Union und der FDP. Und anscheinend auch bei der RP, den ansonsten sind so populistische Überschriften nicht erklärbar!!",1.0,4,8,1
"""Greenpeace nennt CO2-Preis „vollkommen wirkungslos“......."" So wie alle Maßnahmen dieser GroKo vollkommen wirkungslos sind, z.B. Digitalisierung - nur rudimentär vorhanden, Infrastruktur -  zunehmend verrottet, Bundeswehr - nicht einsatzbereit, Flughafen BER - nicht einsatzbereit, Grenzen - können nicht geschützt werden (lt.  A. Merkel), Innere Sicherheit - zunehmender Kontrollverlust des Staates, etc. etc.etc.",0.0,4,8,1
"Das war kein Elfmeter -          Das war kein Elfmeter -                  Das war kein Elfmeter -   ""Tante Käthe""  hat schon lange nicht mehr  ""losgeledert"" !!!! - ",0.0,4,8,1
"Obwohl das Video beweist, dass Gretas Darstellung zu 100 % korrekt ist, geht der Niveau-Limbo der Greta-Hasser weiter. Ich kann mir schon vorstellen, welche Diagnose bei all diesen Herrschaften in wenigen Jahren im Altenpflegeheim gestellt wird.  Es ist im übrigen auch nicht wahr, dass sich Greta jemals über die Überfüllung des Waggons beschwetrt hätte; dazu braucht man sich nur ihr ursprüngliches Social Media-Posting anschauen.",1.0,4,8,1
"Wo bleibt hier die Toleranz, Herr van Basten ist doch kein Deutscher.",1.0,4,8,1
"Dass Rose sich für Gladbach entschieden hat und nicht dem Werben von Hoffenheim, Schalke und Wolfsburg nachgegeben hat, wird zum größten Teil wohl daran gelegen haben, dass Eberl besser aussieht als die Manager dieser Konkurrenten und dass er rhetorisch einsame Spitze ist.",0.0,4,8,1
Gut so. Nichts war gut in der DDR nur der Atheismus.,0.0,4,8,1
"Ich gehe Mal davon aus, dass Frau Merkel dem Verfassungsschutz zuvor nitgeteilt hat, dass dieser vorgeben soll, er handele nicht auf Befehl von Frau Merkel.",1.0,4,8,1
"Wie es nach dem Auszug in den neuen Häusern aussehen kann, ist hier zu bestaunen, vielleicht zieht man daraus ja Konsequenzen und überdenkt dies Vorhaben nochmal!  Holperiges Ende eines Wohnprojekts GWG muss Neubauten für Flüchtlinge nach zwei Jahren sanieren - und erntet Kritik für Entmietung https://www.donaukurier.de/lokales/ingolstadt/DKmobil-Asylbewerber-Ingolstadt-wochennl012019-Holperiges-Ende-eines-Wohnprojekts;art599,4035181",1.0,4,8,1
Nationalität des Fahrers?,1.0,4,8,1
"Für mich ein Urteil, das den Titel "" im Namen des Volkes "" zu Recht führen darf.",0.0,4,8,1
"Solange SPD-Politiker wie Gabriel Ihren eigene Rachegelüste über das Wohl der Partei stellen (und letztlich auch über das Wohl des Volkes), wird die SPD weiter verlieren. Aber das kann man den machtbesessenen in der Parallelwelt nicht beibringen.... Es ist wie im alten Rom: Macht zählt. Sonst nichts. Die Politik hat jede Basis verloren. ",0.0,4,8,1
"Glaube eher, Mutti holt da noch ein paar weitere Ausreisewillige ab.",1.0,4,8,1
"interessant übrigens auch, dass ein spieler wie Villalba gar nicht erst besprochen wird. wer fehlt noch?",0.0,4,8,1
"Ich glaube Frau Merkel ist eigentlich nicht mehr in der Lage ihr Amt richtig ausführen.   Ich meine gesundheitlich inhaltlich ja schon seit 2015 nicht mehr.   Man sollte davon ausgehen, dass es Frau Merkel nur noch darum  geht Ihre vierte Amtszeit zu überstehen, damit sie als Kanzlerin neuen Rekord aufstellen kann.  Oder warum hat sie sich, wo ist nur geht schon soweit unsichtbar gemacht .   Aber auch hier:  wir schaffen das !! ",1.0,4,8,1
"Ich glaube man kann sich die Hinweisschilder am Südring und auf der Münchener Straße sparen. Wenn sich der Verkehr morgens auf der A 46 aus Richtung Wuppertal nun nicht mehr ab Haan Ost sondern schon ab Wuppertal Verresbeck staut, auf der Münchnerstraße bis Benrath und man aus Richtung Neuss eh nicht vor 13 Uhr am Arbeitsplatz ankommt, dann weiß man ja, da ist bei der Düsseldorfer Stadtplanung mal wieder was gründlich schief gelaufen. ",0.0,4,8,1
"„Ich dachte, nur ein Mann darf Sie nicht anfassen!“  Irrtum, vertrocknete L*sb*n auch nicht.",1.0,4,8,1
"Möchte mal wissen, was es da zu Feiern gibt. Watschenmänner und Frauen sonnen sich in ihrer Unzulänglichkeit. Gebt das Gel für was sinnvolleres aus.",1.0,4,8,1
"Da hat Emmerich wieder patriotischen Stoff aus der Mottenkiste gezogen. Naja, die letzte Verfilmung ist aus den 70ern, da wird es wohl Zeit für eine Neuauflage.",0.0,4,8,1
"Allerdings frage ich mich hier, warum und wieso die RPO wieder ""Meinungen"" zum Gladbach-Spiel zuläßt. War doch in den letzten Tagen und zeitweise auch Wochen alles gesperrt.",1.0,4,8,1
"Liebe ZEIT-Leserinnen, liebe ZEIT-Leser, bitte beachten Sie: wegen des morgigen Weltfrauentags arbeiten die weiblichen Mitarbeiterinnen des ZEIT-Verlags morgen nicht.  Der Betrieb läuft wie gewohnt weiter.     — DIE ZEIT (@DIEZEIT) 7. März 2019",1.0,4,8,1
"""...auswärtige Besucher..."", ""...nicht über genügend Deutschkenntnisse verfügen..."". Diese Probleme gibt es im ganzen Stadtgebiet.",1.0,4,8,1
Weil Fußball im Profibereich mit Sport nicht mehr viel gemein hat und nur noch die Dollars wichtig sind.,0.0,4,8,1
"Wenn ein Habeck in diesem Land durch Mithilfe anderer Parteien Bundeskanzler werden sollte, sind wir einem eventuellen Bürgerkrieg wieder ein Stück näher. Ein Habeck wird Deutschland zerlegen. ",1.0,4,8,1
"Eine weitere enge Verflechtung von Politik und Wirtschaft wäre wohl die Folge. Es ist schwerlich vorstellbar, daß solche Politiker eine Vorstellung entwickeln können, z.B. für Menschen, denen Mieterhöhungen den letzten Lebensnerv rauben und noch das nehmen, was ihnen für wirklich nur noch kleine Freuden bleibt.",0.0,4,8,1
Winterwind mimimimmimiiiiii,1.0,4,8,1
...wenn du nur genug Macht und / oder Geld hast.   Irgendwie beängstigend. ,0.0,4,8,1
"... ""Immer dann, wenn sich Gruppierungen mit Gewalt gegen unseren Staat wenden, dann ist es unsere Aufgabe, konsequent einzuschreiten."" ...  Der Staat schreitet auch schon ein, wenn Leser ihre Meinung kundtun wollen. Zu zu vielen Artikeln in allen großen Medien wird das Forum nicht mehr geöffnet. Dabei dienen die Foren auch dazu zu loben, kritisieren oder auch nur Dampf abzulassen. Sie tragen somit zur Volksgesundheit bei. Eine wichtige Aufgabe, wie ich finde. ",1.0,4,8,1
"Ja, das sind die Tücken der direkten Demokratie! Der Weihnachtsmann kommt auch dann nicht auf seinem Rentierschlitten und verteilt Geschenke an jeden, wenn das in einem Referendum beschlossen wird.  Schon blöd, wenn man etwas beschließt, was es nicht gibt und auch nicht geben kann. ",0.0,4,8,1
"Aus dem politischen Kindesmissbrauch wird somit auch kirchlicher Kindesmissbrauch. Eigentlich ja nichts neues. Was da so abläuft, ist nicht mehr meine Welt. Ich pflege lieber die Natur- und Geisteswissenschaften, welche mir den rechten Weg weisen - hin zum Guten und Göttlichen. Ich habe das Böse, den Ahriman erkannt. ",1.0,4,8,1
...und in Deutschland wird nur noch gezittert anstatt gehandelt.,0.0,4,8,1
"Nach der Moral der katholischen Kirche kann ein Missbrauchs-Priester, der nach der weltlichen Gerichtsbarkeit verurteilt ist, durchaus noch die Gnade und Vergebung des Beichtsakraments bekommen. Anders ist das bei Geschiedenen, die wieder heiraten.",0.0,4,8,1
Und da ist sie. Die fast schon tägliche Verbotsforderung der Grünen. Möge man uns lange von ihnen als Regierungspartei verschonen.,1.0,4,8,1
Richtig so.,0.0,4,8,1
Ob die Grünen & Linken wohl wissen warum der Ordnungsdienst sich mit Schlagstöcken bewaffnen muss ???  Sicher nicht !  Sonst würden sie sicherlich Tunesien nicht als unsicheres Herkunftsland einstufen....obwohl tausende deutsche Touristen dort jährlich ihren Urlaub verbringen.  Mit einem Satz gesagt:  Beide Parteien sind unwählbar.,1.0,4,8,1
Wo hat Herr Bröcker dieses geradezu devote Interview mit Herrn Lindner denn geführt? Im Konferenzraum des Berliner Mövenpick-Hotels vielleicht?,0.0,4,8,1
"Die Polizei verdächtigt das ""Zentrum für politische Schönheit"" eine Straftat zu Lasten des braunen Sumpfes begangen zu haben. Wen wundert dies nur, da doch die Landesfarben mittlerweile schwer dunkelbraun geworden sind.",1.0,4,8,1
"Es wäre wirklich schade, wenn Brüssel da eingeknickt wäre. Hoffentlich lehnt das Unterhaus das heute ab und schickt May in die Wüste!",0.0,4,8,1
"Vielleicht sollte man die Wilderer in der Nähe eines Löwenrudels, natürlich unbewaffnet, wieder aussetzten.",1.0,4,8,1
"Ich weiß nicht wie es bei den Damen ist, aber bei den Herren heißt es ja immer, daß ein fette Karre einen bestimmten körperlichen Mangel ausgleichen soll. Was sagt das über Zehntausende Herren im Dorf?",0.0,4,8,1
"Ein Mann fragt Männer was der Grund dafür ist - wenn ein Artikel keinen Sinn ergibt, ist sicher wieder ein Migrationshintergrund des Täters, den man aber bitte nicht nennen darf/möchte, der Grund dafür.   So sicher auch hier.",1.0,4,8,1
Unser sonst sehr geschätzter Trainer  sollte besser nicht zu allen Themen Stellung nehmen. ,0.0,4,8,1
Eine Jugendliche lässt Politiker zittern und hasserfüllte Id..... zu Hochform auflaufen. Da hat Greta offenbar genau den richtigen Punkt getroffen.,0.0,4,8,1
"Auf der Ile de la Reunion(Frankreich) landen schon seit einiger Zeit Schiffe mit Flüchtlingen aus Sri Lanka an. Es ist anzunehmen das nicht jedes Flüchtlingsboot die ca. 4000 Kilometer Entfernung auf See übersteht. Die Situation auf Sri Lanka ist schon lange angespannt, das Problem ist  jetzt erst in der deutschen Medienlandschaft angekommen, warum ?",1.0,4,8,1
"Das altbewährte Schema, wenn mal einer Klartext redet. Die Merkel-Treuen kommen aus ihren Löchern und empören sich. Klar - dann folgt der obligatorische Nazi-Vergleich, indem man ein einzelnes Wort herausfischt, was vielleicht auch mal irgendein Nazi-Depp verwendet hat. Aber inhaltlich vermeidet man jede Diskussion und schleicht um den heißen Brei herum. Ich wünsche mir mehr Leute mit Mut zur eigenen Meinung wie Tilman Kuban. Dann wird die CDU auch wieder wählbar.......",0.0,4,8,1
Am Samstag auf dem Burgplatz handelte es sich sicher um 200 renitente  Rentner! ,1.0,4,8,1
"Deutschland das ""Schlaraffenland"" fuer Salafisten, islamfeindlich und von aussen gesteuerte Prediger, welche die gesellschaftlich, freiheitlich und geschuetzte Grundordnung des Staates ablehnen! Und die Politik bekommt es nach wie vor nicht gebacken, diese ""Hassprediger"" dort zu lassen wo sie herkommen! Die ""Schoenrederforisten"" sehen dies jedoch natuerlich wieder ganz anders - aber macht nix! ",0.0,4,8,1
"Die die unzufrieden sind sind immer die mit den 3er Bm´s und neuerdings mit den ab Werk aufgemotzten CLA Mercedes oder wie die genannt werden.  Daru fahren diese Typen auch Rennen , nicht um Menschen zu töten, dass wird gebilligt, aber um die Minderwertigkeitskomplexe für ein paar Minuten zu beseitigen. Jeder ist seines Glückes Schmied, aber ohe 3er BMW und Assi Mervedes kommt auch ein Türke in Dritter Generation weiter, ich habe genug in meinem Bekanntenkreis die genauso denken wie ich!",1.0,4,8,1
"Nur zur Information,  die amtierende stellvertretende Generalsekretärin der Vereinten Nationen (UN) ist Afrikanerin und heißt Amina J. Mohammed. Den Rest sollte jeder selber recherchieren und sich seine eigene Meinung bilden.",0.0,4,8,1
"Man sollte alle Teddybärenwerfer und Welcome-Enthusiasten namentlich erfassen und sie dazu auffordern, ihren Worten nun endlich finanzielle Taten folgen zu lassen. Humanismus gibt es nun mal nicht zum Nulltarif. Wer es von den Genannten ernst meint, wird freudig seinen Geldbeutel freiwillig öffnen. Und die, die diesen Irrsinn ablehnen und gegen deren Willen Millionen illegale Einwanderer ins Land gelassen wurden, werden von den Kosten selbstverständlich verschont.",1.0,4,8,1
"Das nächste Thema der Schüler ist vielleicht ""Thursday for the peace!"" dafür wird dann am Donnerstag gestreikt, Mittwochs nehmen wir dann das Thema ""Kein Hunger mehr in der gesamten Welt!"" Schule wäre dann nur noch Montag und Dienstag, der Rest der Woche frei, allerdings pro Tag 1 Std. Demo zum jeweiligen Thema. Na also, geht doch.",0.0,4,8,1
